,artist_name,track_name,track_id,track_popularity,artist_id,song_length_ms
957,Workout Music ,Old Town Road (Remix),2YYO2IuGe6dI9Lv3mpeUWo,11,5njMahLKD1tLJ5bejvqseV,265866
958,Rod Wave,Letter From Houston,64NX4R1rgHb1LMLDAnNNPp,63,45TgXXqMDdF8BkjA83OM7z,173893
959,The Cog is Dead,A Letter to Michelle (Remastered 2020),1BrqAzQfvlyivjKXKuQ6Di,5,5aLQtm6eoBgUhsbHvgAJPF,335386
960,Dustin Lynch,Ridin’ Roads,2VPmBOuy7ZAOFSzKwW2IEt,63,1dID9zgn0OV0Y8ud7Mh2tS,205426
961,Workout Music ,Shallow (Remix),7tURpAVMj5qglZb3nJOx4a,12,5njMahLKD1tLJ5bejvqseV,270000
962,BIA,WHOLE LOTTA MONEY,5yorXJWdBan1Vlh116ZtQ7,65,6veh5zbFpm31XsPdjBgPER,156005
963,Jacob Lizotte,Beast,0uEt4NbDvWQSqvpDQOZwLr,5,1xd4o3nvXyiD90YBml2A5T,218500
964,Will Wood,I / Me / Myself,1lqj3wgPj8gHCdq46hUjvr,67,1VQ8riQ31zVHtlxiCC9EZE,291715
965,October,Your Story Isn't Over Yet - 2020 Remastered,50Ac3UlS4mKBmgSLSnLGGG,4,1AkzuxRsDDcPQURcUARdlq,248325
966,Myke Towers,Bandido,1xK1Gg9SxG8fy2Ya373oqb,75,7iK8PXO48WeuP03g8YR51W,232853
967,October,When I'm Close To You - 2020 Remastered,7zCTxEqTb4COCwoNrhyGHF,5,1AkzuxRsDDcPQURcUARdlq,182589
968,Brothers Osborne,I'm Not For Everyone,143YESFOZqxVGrKEWisbid,64,39NR3AUhpbbqKM33vWn2fp,172106
969,Mirah,Words Cannot Describe - 2020 Version,3JUq8M5st11QCnotAKuZSO,3,5AZHg5fZjuN4FzGUnaiQcj,123940
970,Steve Lacy,Uuuu,6M0EP76qW9TG4SNU0agu94,64,57vWImR43h4CaDao012Ofp,90708
971,The Sea The Sea,A Thousand Years,2y18KwwFsRDbozWzbdmESx,9,3uKFW2tuZB4NFThJfHJtZ1,225186
972,Maluma,Hawái,1yoMvmasuxZfqHEipJhRbp,75,1r4hJ1h58CWwUQe3MxPuau,199112
973,ShoXeRr,Forever of Light Years,7vfBPZfo7X7uPTgtRsDNTf,6,7rAHx1G9pKJx9e5MXay9yp,201600
974,Banda MS de Sergio Lizárraga,La Casita,0vtYnEw1eJwW26BrBnOAYJ,72,2C6i0I5RiGzDKN9IAF8reh,217600
